genre,color,size,left,top
detroit hip hop,"rgb(172, 124, 16)",108%,1064px,6641px
baroque violin,"rgb(34, 166, 59)",100%,455px,15006px
southern soul blues,"rgb(152, 136, 12)",101%,1035px,4630px
serbian electronic,"rgb(198, 137, 199)",100%,1318px,238px
organic house,"rgb(167, 150, 194)",103%,1333px,669px
house argentino,"rgb(182, 143, 209)",100%,1396px,269px
israeli classical,"rgb(32, 162, 117)",100%,380px,15875px
trance,"rgb(208, 124, 123)",106%,653px,1453px
hard dance,"rgb(234, 94, 176)",100%,790px,958px
cedm,"rgb(182, 136, 57)",101%,677px,2497px
belo horizonte indie,"rgb(136, 143, 25)",101%,733px,8204px
filthstep,"rgb(210, 124, 87)",102%,746px,2454px
jazz harp,"rgb(77, 157, 130)",100%,728px,13736px
disney espanol,"rgb(122, 139, 19)",100%,723px,10049px
argentine rock,"rgb(167, 128, 22)",109%,635px,7382px
classic italian pop,"rgb(123, 143, 10)",106%,677px,11581px
bolivian rock,"rgb(178, 125, 28)",100%,673px,4758px
christian a cappella,"rgb(81, 145, 8)",100%,451px,12363px
traprun,"rgb(186, 140, 74)",104%,753px,2907px
serbian indie,"rgb(173, 125, 66)",100%,507px,6414px
noisecore,"rgb(213, 26, 145)",100%,169px,7553px
western mass indie,"rgb(154, 128, 50)",100%,501px,10050px
political hip hop,"rgb(182, 113, 14)",104%,1003px,7160px
circuit,"rgb(217, 119, 139)",102%,1161px,614px
martial industrial,"rgb(141, 120, 127)",100%,323px,8974px
rap uruguayo,"rgb(171, 133, 22)",101%,1060px,5470px
uk dub,"rgb(145, 151, 96)",100%,1201px,2074px
chicano rap,"rgb(169, 129, 8)",103%,1136px,3230px
british experimental,"rgb(127, 115, 146)",100%,529px,10431px
indian electronic,"rgb(164, 143, 156)",100%,1016px,2682px
traditional irish singing,"rgb(28, 168, 12)",100%,945px,15514px
french orchestra,"rgb(50, 144, 129)",100%,341px,15394px
nasheed,"rgb(106, 148, 12)",101%,774px,12398px
chanson,"rgb(103, 145, 10)",106%,746px,12300px
chinderlieder,"rgb(109, 142, 9)",100%,1097px,9922px
anti-folk,"rgb(138, 131, 42)",105%,584px,11035px
ambient worship,"rgb(90, 158, 148)",103%,284px,10268px
denver indie,"rgb(157, 134, 50)",100%,486px,8183px
dutch blues,"rgb(155, 128, 33)",100%,589px,8926px
piano mpb,"rgb(89, 157, 156)",100%,797px,13318px
spanish synthpop,"rgb(193, 127, 37)",101%,853px,1675px
suomi rock,"rgb(170, 124, 15)",103%,614px,6747px
canadian post-rock,"rgb(127, 134, 161)",100%,319px,9675px
reggaeton cristiano,"rgb(186, 137, 4)",101%,1001px,4407px
beatlesque,"rgb(160, 122, 25)",108%,505px,9476px
glam rock,"rgb(173, 112, 26)",110%,535px,8583px
western swing,"rgb(90, 141, 31)",100%,1025px,13241px
guam indie,"rgb(134, 141, 85)",100%,849px,8508px
deep neofolk,"rgb(96, 156, 56)",100%,484px,11146px
techno kayo,"rgb(155, 134, 32)",100%,770px,5525px
russian pop,"rgb(183, 127, 9)",104%,840px,3273px
musica hondurena,"rgb(173, 130, 34)",100%,1060px,7674px
warrington indie,"rgb(178, 124, 40)",100%,455px,4556px
afro-cuban traditional,"rgb(141, 126, 20)",100%,1088px,11669px
guided meditation,"rgb(39, 131, 167)",100%,183px,13327px
rap metal espanol,"rgb(221, 93, 31)",100%,540px,3958px
romanian pop,"rgb(184, 135, 39)",103%,997px,2155px
myanmar indie,"rgb(170, 132, 15)",100%,673px,5963px
italian indie pop,"rgb(150, 133, 32)",102%,589px,8570px
deep happy hardcore,"rgb(222, 117, 96)",100%,814px,1444px
hamburg indie,"rgb(163, 132, 25)",101%,577px,6062px
canterbury scene,"rgb(137, 128, 93)",101%,471px,10911px
san marcos tx indie,"rgb(163, 121, 30)",101%,565px,8287px
stuttgart indie,"rgb(162, 132, 55)",100%,492px,6352px
deep funk,"rgb(176, 119, 61)",100%,970px,6959px
thai indie pop,"rgb(164, 136, 22)",102%,647px,4414px
hi-nrg,"rgb(189, 119, 35)",103%,906px,1865px
futurepop,"rgb(205, 119, 87)",101%,680px,1216px
kazakh pop,"rgb(170, 138, 18)",101%,902px,3762px
victoria bc indie,"rgb(152, 133, 40)",100%,507px,8430px
post-rock,"rgb(129, 136, 175)",103%,275px,9036px
stomp pop,"rgb(166, 128, 45)",103%,476px,5876px
yacht rock,"rgb(139, 132, 26)",108%,748px,8241px
british post-rock,"rgb(129, 143, 181)",100%,298px,8876px
post-disco soul,"rgb(171, 116, 29)",100%,1088px,3290px
jumptek,"rgb(208, 114, 162)",100%,1204px,561px
classic thai pop,"rgb(135, 147, 8)",101%,723px,6578px
mluvene slovo,"rgb(94, 122, 5)",100%,1069px,13456px
guzheng,"rgb(54, 167, 172)",100%,855px,15975px
orchestral performance,"rgb(44, 149, 130)",100%,368px,15631px
louvor,"rgb(100, 155, 36)",101%,471px,10380px
vintage spanish pop,"rgb(91, 143, 29)",100%,849px,14791px
arabic jazz,"rgb(101, 151, 139)",101%,743px,11982px
galician folk,"rgb(127, 148, 59)",100%,457px,10786px
shred,"rgb(190, 106, 143)",101%,343px,5717px
deep pop edm,"rgb(189, 136, 45)",103%,814px,1915px
northamptonshire indie,"rgb(171, 130, 69)",100%,445px,4384px
alternative americana,"rgb(123, 145, 32)",101%,584px,10749px
funk das antigas,"rgb(195, 121, 11)",104%,1138px,2694px
korean superband,"rgb(135, 147, 41)",100%,560px,9328px
irish trap,"rgb(140, 152, 16)",100%,1014px,4446px
halifax indie,"rgb(168, 127, 40)",100%,514px,7259px
idaho indie,"rgb(155, 131, 54)",100%,437px,9278px
modern ska punk,"rgb(215, 101, 16)",102%,629px,5345px
uk beatdown,"rgb(217, 87, 48)",100%,357px,7986px
orlando indie,"rgb(183, 113, 25)",101%,453px,6488px
okinawan folk,"rgb(139, 143, 19)",100%,647px,8398px
faroese pop,"rgb(108, 149, 34)",100%,572px,10700px
viking folk,"rgb(118, 145, 84)",101%,467px,9910px
swiss folk,"rgb(132, 149, 45)",100%,781px,9663px
j-rock,"rgb(194, 112, 27)",108%,447px,4569px
japanese alternative rock,"rgb(193, 112, 26)",104%,421px,4820px
buffalo hip hop,"rgb(153, 136, 14)",101%,938px,7510px
scottish indie,"rgb(164, 126, 56)",102%,403px,7017px
australian underground hip hop,"rgb(182, 124, 17)",101%,1010px,6060px
chinese metal,"rgb(197, 107, 99)",100%,325px,4005px
shoegaze,"rgb(164, 124, 119)",104%,260px,6319px
metal catarinense,"rgb(220, 80, 91)",100%,265px,5550px
rap,"rgb(172, 128, 5)",141%,1084px,4523px
batak,"rgb(156, 144, 18)",101%,558px,5513px
orthodox chant,"rgb(45, 160, 59)",100%,178px,16303px
uk post-hardcore,"rgb(211, 99, 26)",101%,264px,5314px
flamenco fusion,"rgb(186, 123, 10)",101%,963px,6922px
hardcore punk espanol,"rgb(233, 73, 33)",100%,353px,8680px
metal uruguayo,"rgb(210, 96, 45)",100%,267px,5179px
south carolina metal,"rgb(215, 72, 137)",100%,176px,7852px
brutal deathcore,"rgb(229, 71, 92)",101%,219px,5027px
russian hardcore,"rgb(225, 85, 47)",100%,302px,6487px
cinematic post-rock,"rgb(114, 149, 200)",100%,206px,8937px
finnish choir,"rgb(37, 153, 60)",100%,192px,16242px
swedish death metal,"rgb(230, 69, 118)",102%,167px,6414px
cubaton,"rgb(212, 133, 2)",102%,1080px,2380px
power-pop punk,"rgb(225, 83, 28)",101%,319px,5463px
bikutsi,"rgb(205, 123, 17)",100%,1005px,6731px
puerto rican metal,"rgb(216, 85, 62)",100%,242px,8293px
vintage classical singing,"rgb(46, 161, 25)",100%,393px,16621px
tar,"rgb(82, 158, 146)",100%,751px,14847px
chaabi algerien,"rgb(136, 136, 38)",100%,741px,13306px
brazilian post-hardcore,"rgb(218, 91, 23)",100%,341px,4858px
indonesian metal,"rgb(228, 74, 72)",100%,282px,5289px
gothenburg metal,"rgb(222, 84, 87)",101%,210px,4742px
italian death metal,"rgb(226, 63, 122)",100%,195px,5925px
german pagan metal,"rgb(223, 85, 94)",100%,183px,4091px
slavic folk metal,"rgb(207, 105, 58)",100%,211px,5102px
viking metal,"rgb(218, 91, 74)",102%,206px,4469px
deep regional mexican,"rgb(165, 135, 1)",104%,1077px,8665px
proto-techno,"rgb(169, 113, 134)",101%,878px,3799px
singaporean electronic,"rgb(192, 137, 138)",100%,993px,1555px
mandible,"rgb(113, 133, 184)",100%,380px,9377px
ambient house,"rgb(165, 136, 173)",101%,951px,2199px
nz electronic,"rgb(181, 136, 145)",101%,1010px,1733px
rap euskera,"rgb(164, 115, 6)",100%,1073px,8427px
japanese classical performance,"rgb(33, 162, 176)",100%,478px,15960px
naat,"rgb(142, 137, 1)",100%,767px,12019px
gaita,"rgb(141, 141, 97)",100%,289px,9012px
swiss indie folk,"rgb(110, 144, 36)",100%,569px,11097px
italian pop,"rgb(142, 139, 8)",110%,684px,9267px
maltese pop,"rgb(180, 132, 27)",100%,579px,3509px
concepcion indie,"rgb(180, 127, 34)",101%,465px,7369px
nouvelle chanson francaise,"rgb(135, 143, 27)",103%,738px,7977px
arkansas country,"rgb(111, 135, 7)",104%,953px,12068px
jazz guitar,"rgb(81, 150, 139)",102%,1022px,13758px
hong kong indie,"rgb(146, 135, 25)",100%,584px,6870px
brazilian blues,"rgb(165, 128, 47)",100%,723px,7854px
dark electro,"rgb(210, 118, 91)",100%,650px,1001px
aggrotech,"rgb(219, 104, 106)",101%,574px,1023px
south dakota indie,"rgb(158, 128, 48)",100%,417px,7247px
baroque ensemble,"rgb(36, 161, 62)",100%,399px,15040px
gothic post-punk,"rgb(175, 121, 96)",100%,465px,4746px
ukhc,"rgb(225, 78, 69)",100%,256px,7627px
new jersey rap,"rgb(173, 119, 7)",103%,1057px,6793px
dfw rap,"rgb(161, 141, 4)",108%,1091px,3875px
gospel rap,"rgb(179, 126, 12)",100%,1029px,5212px
focus trance,"rgb(181, 151, 212)",100%,1261px,301px
italian contemporary classical,"rgb(26, 154, 119)",100%,395px,15802px
veracruz indie,"rgb(150, 139, 31)",101%,748px,7252px
zikir,"rgb(78, 161, 2)",100%,638px,12917px
musica lombarda,"rgb(120, 140, 7)",100%,832px,11135px
electric blues,"rgb(132, 125, 33)",105%,900px,11518px
chamber ensemble,"rgb(33, 168, 157)",100%,364px,15827px
pops orchestra,"rgb(76, 147, 145)",100%,325px,13265px
icelandic folk,"rgb(101, 153, 40)",101%,680px,10850px
yoik,"rgb(81, 153, 41)",100%,533px,11982px
german trap,"rgb(146, 155, 12)",105%,1046px,4009px
ukrainian rock,"rgb(178, 127, 16)",101%,721px,4008px
funk evangelico,"rgb(180, 129, 6)",100%,1084px,4395px
bossa nova jazz,"rgb(118, 148, 80)",100%,880px,10385px
wu fam,"rgb(180, 114, 16)",100%,1005px,6934px
ranchera,"rgb(118, 148, 10)",112%,908px,10780px
rap metal,"rgb(217, 92, 26)",110%,461px,4234px
soft rock,"rgb(146, 130, 16)",122%,641px,8583px
tuareg guitar,"rgb(150, 143, 58)",100%,869px,9802px
australian trap,"rgb(171, 135, 3)",102%,1042px,5708px
south african hip hop,"rgb(169, 132, 9)",101%,1036px,6679px
greek hip hop,"rgb(178, 128, 22)",102%,1046px,4271px
iowa hip hop,"rgb(151, 145, 8)",100%,1058px,5545px
nz hip hop,"rgb(173, 132, 19)",101%,1051px,4109px
deep east coast hip hop,"rgb(173, 114, 21)",100%,1129px,4915px
brazilian techno,"rgb(181, 150, 209)",100%,1332px,350px
irish classical,"rgb(33, 159, 132)",100%,332px,16095px
folk punk,"rgb(162, 123, 14)",102%,556px,9525px
cardiff indie,"rgb(151, 134, 62)",100%,480px,9464px
indie extremena,"rgb(192, 116, 13)",101%,540px,4918px
panamanian indie,"rgb(166, 134, 31)",100%,606px,5732px
chilean hardcore,"rgb(216, 94, 30)",101%,403px,6501px
romanian indie,"rgb(164, 133, 49)",100%,511px,4931px
slc indie,"rgb(165, 128, 51)",100%,461px,6389px
japanese r&b,"rgb(177, 133, 21)",105%,790px,4130px
indie tucumano,"rgb(159, 134, 41)",100%,516px,6857px
san diego indie,"rgb(174, 121, 50)",101%,407px,6123px
trap cristao,"rgb(163, 136, 7)",100%,1049px,5607px
portland hip hop,"rgb(162, 130, 25)",103%,991px,7460px
northern soul,"rgb(148, 123, 10)",103%,774px,9476px
thrash core,"rgb(226, 56, 83)",101%,247px,8491px
japanese hardcore,"rgb(230, 55, 89)",100%,206px,8361px
hungarian hip hop,"rgb(191, 118, 8)",101%,1046px,7109px
pop paraguayo,"rgb(173, 140, 5)",100%,943px,4008px
brit funk,"rgb(180, 119, 56)",101%,955px,3677px
chopped and screwed,"rgb(149, 136, 6)",101%,1069px,5137px
texas latin rap,"rgb(166, 133, 5)",101%,1068px,3316px
bounce,"rgb(183, 126, 13)",101%,1148px,2799px
american shoegaze,"rgb(171, 117, 146)",100%,188px,6895px
old school uk hip hop,"rgb(185, 114, 40)",100%,1204px,1587px
underground latin hip hop,"rgb(179, 123, 9)",100%,1095px,5984px
g funk,"rgb(171, 123, 5)",107%,1180px,3552px
indie electronica,"rgb(135, 143, 158)",100%,790px,5624px
float house,"rgb(166, 141, 185)",103%,1138px,1616px
icelandic classical,"rgb(41, 160, 164)",101%,300px,14102px
austro-german modernism,"rgb(30, 155, 107)",100%,387px,16132px
classical baritone,"rgb(52, 145, 29)",100%,437px,15948px
german renaissance,"rgb(29, 165, 87)",100%,262px,15936px
czech folk,"rgb(136, 136, 9)",101%,702px,9834px
classical flute,"rgb(39, 168, 163)",100%,435px,15265px
galego,"rgb(141, 139, 36)",100%,547px,10221px
scottish jazz,"rgb(85, 148, 118)",100%,847px,13351px
rosary,"rgb(68, 163, 40)",100%,349px,13176px
italian ska,"rgb(213, 109, 15)",100%,677px,3832px
puerto rican pop,"rgb(166, 134, 8)",108%,825px,6403px
deep german punk,"rgb(206, 101, 34)",100%,353px,5963px
grime,"rgb(192, 125, 20)",107%,974px,4744px
finnish folk,"rgb(106, 154, 52)",100%,535px,11801px
german blues,"rgb(146, 132, 35)",100%,832px,9223px
japanese folk,"rgb(107, 148, 20)",100%,593px,11542px
jewish a capella,"rgb(133, 139, 3)",100%,563px,10533px
ontario indie,"rgb(156, 133, 40)",101%,501px,8108px
finnish soul,"rgb(154, 134, 26)",100%,801px,6805px
latin viral pop,"rgb(171, 137, 6)",107%,812px,4146px
candy pop,"rgb(187, 121, 14)",106%,509px,3639px
volksmusik,"rgb(159, 135, 12)",102%,660px,7678px
turkish rock,"rgb(147, 136, 23)",108%,586px,8704px
zillertal,"rgb(185, 131, 27)",100%,834px,5661px
palm desert scene,"rgb(185, 111, 80)",102%,378px,8839px
french shoegaze,"rgb(152, 136, 131)",102%,206px,6673px
traditional reggae,"rgb(157, 140, 21)",100%,1113px,4540px
rap cristao,"rgb(169, 132, 4)",101%,1058px,5886px
chinese hip hop,"rgb(172, 134, 16)",101%,1029px,4974px
musica indigena brasileira,"rgb(109, 145, 14)",100%,898px,9737px
neue deutsche todeskunst,"rgb(178, 123, 64)",100%,443px,3143px
western saharan folk,"rgb(137, 141, 46)",100%,882px,10989px
canadian hip hop,"rgb(157, 141, 7)",112%,1027px,6186px
turkish hip hop,"rgb(167, 136, 21)",106%,1010px,5657px
memphis hip hop,"rgb(172, 137, 7)",104%,1134px,2232px
toronto rap,"rgb(153, 146, 4)",111%,1044px,5694px
chinese folk,"rgb(133, 148, 9)",100%,476px,9513px
gothenburg hip hop,"rgb(165, 136, 9)",101%,1053px,7034px
old school hip hop,"rgb(180, 105, 16)",104%,1239px,2282px
deep disco house,"rgb(169, 142, 171)",102%,1358px,742px
uk tech house,"rgb(209, 127, 187)",101%,1398px,118px
israeli techno,"rgb(182, 148, 211)",100%,1313px,392px
german contemporary classical,"rgb(30, 143, 103)",100%,380px,15301px
beat poetry,"rgb(71, 123, 20)",100%,1031px,13887px
big band,"rgb(84, 136, 105)",103%,926px,14490px
future house,"rgb(215, 123, 70)",103%,884px,1762px
gwoka,"rgb(177, 112, 47)",100%,1042px,9488px
chinese worship,"rgb(94, 157, 40)",100%,492px,11271px
murcia indie,"rgb(172, 132, 34)",101%,501px,5438px
indie quebecois,"rgb(132, 142, 27)",102%,680px,9085px
trad quebecois,"rgb(163, 134, 35)",100%,819px,9377px
japanese worship,"rgb(112, 153, 34)",100%,505px,10886px
australian comedy,"rgb(160, 97, 11)",100%,995px,11750px
classical,"rgb(36, 159, 141)",108%,382px,15985px
freakbeat,"rgb(161, 116, 32)",101%,598px,9389px
stomp and whittle,"rgb(155, 135, 30)",100%,527px,7505px
circassian folk,"rgb(163, 137, 58)",100%,693px,6077px
outlaw country,"rgb(112, 137, 10)",107%,910px,11209px
groove gospel,"rgb(147, 140, 30)",101%,549px,8043px
starogradska,"rgb(124, 147, 13)",100%,499px,12239px
j-punk,"rgb(223, 83, 40)",101%,336px,5063px
deep northern soul,"rgb(148, 127, 34)",100%,751px,8729px
turkish alternative,"rgb(169, 131, 24)",102%,538px,4992px
zen,"rgb(48, 144, 204)",101%,155px,13607px
cancion infantil mexicana,"rgb(143, 135, 8)",101%,1014px,8189px
croatian pop,"rgb(156, 136, 4)",101%,606px,7369px
corridos cristianos,"rgb(162, 140, 15)",100%,976px,7925px
trap,"rgb(166, 137, 3)",128%,1058px,4222px
tone,"rgb(39, 170, 216)",101%,143px,14081px
early modern classical,"rgb(33, 155, 154)",102%,366px,16144px
tango,"rgb(79, 148, 77)",101%,938px,15136px
vocal trance,"rgb(199, 128, 72)",101%,598px,1701px
bandoneon,"rgb(80, 153, 109)",100%,650px,14877px
gaming edm,"rgb(196, 135, 70)",106%,653px,2347px
indie catala,"rgb(150, 136, 37)",102%,581px,8361px
velha guarda,"rgb(114, 143, 34)",103%,827px,12352px
chinese jazz,"rgb(108, 151, 89)",100%,781px,10582px
oklahoma country,"rgb(108, 141, 18)",104%,827px,11419px
franco-flemish school,"rgb(34, 166, 78)",100%,174px,16230px
kindie rock,"rgb(132, 137, 5)",100%,988px,8691px
singaporean indie,"rgb(154, 131, 58)",100%,421px,8901px
folklore panameno,"rgb(168, 129, 19)",100%,963px,11270px
deep punk rock,"rgb(196, 94, 44)",100%,480px,8145px
power blues-rock,"rgb(176, 122, 34)",100%,603px,8003px
hungarian indie,"rgb(177, 129, 48)",100%,486px,5562px
bubblegum dance,"rgb(208, 120, 27)",106%,884px,1418px
kenyan pop,"rgb(174, 134, 22)",100%,990px,5569px
bulgarian folk,"rgb(96, 150, 57)",100%,399px,13822px
finnish pop,"rgb(164, 134, 8)",104%,668px,5376px
teen pop,"rgb(154, 142, 2)",103%,844px,5019px
cincinnati indie,"rgb(175, 120, 51)",100%,405px,7430px
namibian pop,"rgb(173, 135, 23)",100%,1044px,4334px
classic girl group,"rgb(142, 126, 5)",102%,713px,9976px
malayalam hip hop,"rgb(148, 143, 27)",100%,1046px,6359px
atmospheric post-rock,"rgb(140, 143, 185)",100%,284px,9000px
reggae en espanol,"rgb(173, 134, 10)",104%,1049px,5582px
classic canadian rock,"rgb(164, 122, 19)",105%,533px,8120px
turkish trap,"rgb(171, 139, 33)",104%,1033px,3545px
tejano,"rgb(155, 140, 9)",104%,1038px,7950px
russian shoegaze,"rgb(179, 125, 143)",100%,260px,5151px
fijian pop,"rgb(147, 141, 18)",100%,972px,5136px
grupera,"rgb(146, 144, 5)",115%,959px,8340px
salsa choke,"rgb(191, 132, 1)",102%,1150px,4371px
deep minimal techno,"rgb(188, 141, 206)",101%,1380px,250px
classical tenor,"rgb(73, 150, 17)",101%,282px,16071px
huayno,"rgb(155, 142, 15)",100%,976px,10667px
british country,"rgb(133, 147, 5)",100%,574px,8157px
pittsburgh metal,"rgb(214, 78, 96)",100%,215px,8688px
cumbia uruguaya,"rgb(165, 141, 4)",101%,991px,8590px
power thrash,"rgb(226, 80, 54)",100%,271px,5611px
handbells,"rgb(40, 167, 124)",100%,264px,14038px
austrian black metal,"rgb(220, 61, 132)",100%,110px,6882px
korean contemporary classical,"rgb(32, 156, 127)",100%,275px,15998px
punk urbano,"rgb(219, 100, 9)",102%,417px,4026px
mezmur,"rgb(136, 147, 1)",100%,755px,7902px
goregrind,"rgb(228, 50, 138)",100%,169px,8071px
swedish hardcore,"rgb(229, 60, 75)",100%,183px,8083px
texas hardcore,"rgb(230, 75, 63)",100%,256px,7418px
metal gotico,"rgb(193, 116, 40)",100%,289px,5524px
folk black metal,"rgb(204, 91, 110)",100%,134px,6698px
italian black metal,"rgb(208, 78, 121)",100%,122px,6724px
old school thrash,"rgb(229, 68, 62)",105%,262px,7740px
traditional bluegrass,"rgb(134, 147, 57)",100%,803px,10025px
brazilian black metal,"rgb(215, 66, 114)",100%,120px,8553px
chilean black metal,"rgb(203, 71, 125)",100%,119px,8602px
german death metal,"rgb(230, 69, 112)",100%,204px,5212px
melodic hard rock,"rgb(206, 107, 10)",101%,304px,3531px
bosnian electronic,"rgb(198, 138, 203)",100%,1256px,706px
neo-kraut,"rgb(161, 131, 166)",100%,516px,5402px
lowercase,"rgb(79, 110, 172)",100%,315px,11508px
glitch pop,"rgb(147, 136, 121)",101%,788px,5427px
chinese electronic,"rgb(168, 139, 150)",100%,926px,2519px
nueva cancion,"rgb(100, 146, 23)",106%,924px,12703px
gospel blues,"rgb(82, 139, 28)",100%,1012px,14976px
southampton indie,"rgb(150, 130, 25)",100%,496px,9787px
australian jazz,"rgb(78, 153, 128)",100%,792px,13413px
sarangi,"rgb(109, 140, 60)",100%,488px,13004px
bolero cubano,"rgb(106, 140, 14)",101%,894px,13438px
russian romanticism,"rgb(36, 156, 179)",102%,336px,16181px
uwielbienie,"rgb(104, 150, 26)",100%,484px,10998px
classic japanese jazz,"rgb(103, 143, 136)",100%,795px,12154px
middle east hip hop,"rgb(164, 132, 17)",100%,930px,6428px
kolkata indie,"rgb(152, 134, 12)",100%,690px,7080px
classic greek pop,"rgb(119, 145, 22)",101%,748px,11568px
belgian blues,"rgb(150, 125, 24)",100%,746px,8080px
australian r&b,"rgb(155, 136, 18)",101%,857px,4795px
indie fuzzpop,"rgb(163, 134, 46)",100%,476px,6894px
denver rap,"rgb(161, 138, 7)",100%,990px,5873px
jazz funk,"rgb(113, 139, 91)",105%,894px,11506px
palestinian pop,"rgb(133, 144, 37)",100%,799px,8913px
youth orchestra,"rgb(35, 145, 166)",100%,215px,15652px
instrumental surf,"rgb(196, 108, 133)",100%,449px,9811px
chicago rap,"rgb(167, 137, 9)",115%,1007px,4729px
australian indie rock,"rgb(174, 129, 43)",101%,445px,6000px
rock alternatif francais,"rgb(188, 112, 57)",100%,366px,6562px
south african gospel,"rgb(158, 130, 5)",101%,549px,9538px
boston hip hop,"rgb(173, 128, 15)",103%,993px,6667px
chinese punk,"rgb(212, 94, 30)",100%,435px,5221px
carnaval,"rgb(200, 120, 12)",102%,790px,3054px
argentine indie rock,"rgb(180, 124, 52)",100%,374px,6377px
basshall,"rgb(187, 141, 21)",105%,1115px,3082px
batida,"rgb(194, 125, 79)",100%,1228px,1988px
florida rap,"rgb(156, 145, 2)",106%,1111px,4483px
serialism,"rgb(28, 153, 102)",100%,376px,15960px
french opera,"rgb(44, 153, 88)",101%,376px,15790px
yodeling,"rgb(75, 150, 12)",101%,908px,13629px
dainuojamoji poezija,"rgb(108, 150, 18)",100%,797px,10100px
violao,"rgb(85, 157, 92)",102%,908px,13189px
mpb,"rgb(124, 142, 23)",110%,808px,10619px
german choir,"rgb(46, 152, 28)",100%,287px,15802px
math pop,"rgb(189, 112, 87)",100%,427px,7652px
british indie rock,"rgb(197, 113, 20)",102%,415px,5426px
german pop rock,"rgb(173, 132, 15)",102%,533px,3725px
musica capixaba,"rgb(153, 139, 15)",100%,834px,5986px
sertanejo tradicional,"rgb(140, 141, 5)",103%,876px,9589px
